分析名称,算法名称,最优训练RMSE,最优验证RMSE,最优验证轮数,训练轮数总数,验证RMSE全记录
fold0,c_fista_nuc,,0.997875,4,30,"[1.0463452855965891, 1.0433269643588936, 1.0265232397979258, 0.997874689508507, 1.0137308094907986, 1.4798341191711524, 2.011284201115274, 2.1025445066102946, 2.2467379461285057, 2.249525809250129, 2.278836148781672, 2.295917230369678, 2.3397061443818146, 2.345388848318135, 2.397139860573654, 2.4231607719729324, 2.4387538950722374, 2.458870115474582, 2.4447078296049725, 2.4595404814443773, 2.472932289118355, 2.5194866816504935, 2.5368880748121296, 2.521148929865747, 2.540977308179838, 2.532152048669098, 2.5785682730442314, 2.564521196890522, 2.582741364666042, 2.5838252797451773]"
fold0,c_fw_trace,,1.051855,7,30,"[1.0519249485758357, 1.0520803865296566, 1.052178717289841, 1.0518630531370818, 1.0520161842368405, 1.0518804826768033, 1.0518552669387995, 1.0518752080392795, 1.051954574741308, 1.0519789083032975, 1.0520322391255614, 1.0520502910605518, 1.0520037076670345, 1.051934204054953, 1.0519337599573333, 1.0519587935776484, 1.0519977452450857, 1.052014805597084, 1.0520274009462585, 1.052026231344658, 1.0519864706197224, 1.0519941099905654, 1.052015431745014, 1.0520122629124167, 1.0520232427697696, 1.05203751204679, 1.0520320189554426, 1.0520390987487096, 1.0520520505316793, 1.0520635297544494]"
fold0,c_ista_nuc,,0.975564,30,30,"[1.04675815957877, 1.043929181179251, 1.0409126985438348, 1.0381492685599572, 1.0350432908485734, 1.0321069038878854, 1.0287106438152116, 1.0259501127535726, 1.023013622060044, 1.020068112793545, 1.017548061572376, 1.0147226873189876, 1.0118296918369845, 1.0092641968567593, 1.0065972847524596, 1.0039961562002586, 1.0017344030988944, 0.9992977408269543, 0.9967575602536172, 0.9945411791898466, 0.9925023762522045, 0.9904336134584397, 0.9885044250018602, 0.9865842817752684, 0.9846049214458772, 0.982732234488096, 0.9808970892185848, 0.9789144824968593, 0.9771456374689227, 0.9755635164273488]"
fold0,c_softimpute,,0.91867,30,30,"[1.0286287796243518, 1.0139466813367661, 1.0036642315247692, 0.9944035779255063, 0.9869197172796652, 0.9810028399881056, 0.9746177351128583, 0.9677443642859705, 0.9623675876451749, 0.9598237111662602, 0.9578325615307737, 0.9547199876007487, 0.9504170836764468, 0.9464897901439832, 0.945189433946196, 0.9426416881970068, 0.9410211691146543, 0.9369904416494658, 0.936298133599822, 0.9340611025338674, 0.9316273883560133, 0.9319523162907827, 0.9291483254023111, 0.9266617929258766, 0.9265483432573012, 0.9241673488705373, 0.9234448080476935, 0.9223886924188461, 0.920176780739465, 0.9186696111061213]"
fold0,nc_mf_sgd,0.72371,0.860603,2,4,"[0.9938693479539809, 0.8606032290734709, 0.871606209674886, 0.8812340720970853]"
fold0,nc_perturb,0.83288,0.899363,3,4,"[1.0206691038234745, 0.9491417106075494, 0.8993632541056213, 0.955791444059096]"
fold0,nc_pgd_rankk,,0.951013,30,30,"[1.044753807492167, 1.0393958509991714, 1.0338102785004273, 1.0279648789451548, 1.022673616687441, 1.018004596683572, 1.0137853898272422, 1.0088823500756336, 1.005023042111431, 1.0012496255116135, 0.9976172119199316, 0.9941646523868354, 0.9905675537806369, 0.9875771366058806, 0.984586416112539, 0.9817097222741504, 0.9788519866357596, 0.975991548686251, 0.9735729610080627, 0.9709241120872876, 0.9685751634693731, 0.9663415836374656, 0.9641822930214394, 0.9620789231494972, 0.9598088509454281, 0.9578276286329491, 0.9563984340070992, 0.9543779782425608, 0.9527661245893274, 0.9510134824136419]"
fold0,nc_spec_alt,,0.946099,3,4,"[0.9886979096291055, 0.9548709076582501, 0.946099351035829, 0.9618885426981677]"
fold1,c_fista_nuc,,0.994254,5,30,"[1.045920057289264, 1.0429544491971696, 1.0381384207333817, 1.0196421040057586, 0.9942537712144051, 1.2934037970521153, 1.8497932360023972, 2.141676708882537, 2.162578205856031, 2.322497828372611, 2.4330339981011226, 2.4965268303176424, 2.488860954041241, 2.5035155688927055, 2.515159734532171, 2.471140905770515, 2.438689730627097, 2.4696946652005702, 2.4692077393075675, 2.487653923249356, 2.4864549178131115, 2.5008816482629443, 2.464390355200637, 2.481433515240188, 2.474827157253158, 2.514399954939435, 2.554331415626991, 2.516954413160891, 2.5184154935204304, 2.5413857826975037]"
fold1,c_fw_trace,,1.051039,8,30,"[1.0513065104938606, 1.051243232650337, 1.0510965905481104, 1.0511374854250988, 1.0511693872683325, 1.0511460784811755, 1.0510648612128755, 1.051039151403421, 1.0510873335470665, 1.0510962123146488, 1.0510760774592514, 1.0510391969426072, 1.0510556606231327, 1.0510562293891976, 1.0510850241630527, 1.0510561438884363, 1.0510707885804593, 1.0510895351241247, 1.051101600502326, 1.0510820019755835, 1.051105753607093, 1.051130235124594, 1.0511166785454358, 1.0511328036807621, 1.0511294545201735, 1.0511425537290267, 1.0511400214386815, 1.0511264854302065, 1.051137222437631, 1.0511519449881395]"
